word,count
get,308
got,245
know,236
call,236
good,233
like,232
come,227
day,214
time,201
love,199
going,169
one,167
home,165
want,164
need,158
today,139
see,139
later,135
back,130
send,129
think,128
take,125
tell,122
well,113
hope,109
night,109
dear,109
happy,106
great,104
way,101
work,97
give,94
say,92
already,90
right,89
make,89
ask,89
said,88
really,85
tomorrow,83
wan,81
phone,81
morning,79
life,79
cos,76
meet,75
let,75
anything,74
would,72
sure,71
babe,71
miss,70
pick,69
something,69
text,68
new,67
number,67
care,66
week,65
last,65
wait,64
keep,63
feel,62
nice,62
buy,62
went,62
message,62
thing,62
free,60
sent,60
around,59
gon,59
soon,58
late,58
sleep,58
tonight,57
first,57
always,57
msg,57
even,56
money,56
many,56
dun,55
place,55
leave,55
told,54
could,53
fine,52
things,52
wish,52
haha,51
coming,51
friends,50
find,50
someone,48
yet,48
people,47
lunch,46
getting,46
done,46
thought,46
next,46
heart,46
smile,45
stuff,44
man,44
reply,44
year,44
may,43
bit,43
class,43
meeting,43
thats,43
job,43
try,42
finish,42
never,42
long,42
better,42
house,42
car,41
friend,41
dat,41
person,41
talk,40
best,40
cool,40
every,40
use,40
mind,39
lar,38
eat,38
lot,38
sir,38
problem,38
world,37
name,37
stop,37
liao,37
help,36
dinner,36
waiting,36
ready,36
shit,36
sweet,35
check,35
another,35
birthday,35
big,35
might,35
quite,35
watching,34
room,34
nothing,34
early,33
aight,33
watch,33
days,33
probably,33
wont,32
remember,32
bed,32
forgot,32
special,32
boy,32
called,32
plan,32
ever,32
actually,32
den,32
princess,32
month,31
guess,31
girl,31
dunno,31
two,31
bad,31
kiss,31
pay,30
bus,30
left,30
maybe,30
guys,30
leh,30
face,30
luv,30
hour,30
sat,30
office,30
anyway,29
working,29
everything,29
baby,29
start,29
enjoy,29
hear,29
dad,29
look,28
trying,28
afternoon,28
without,28
tmr,28
made,28
dis,28
put,28
wife,28
wif,27
enough,27
end,27
okay,27
says,27
school,27
mail,27
little,27
missing,27
evening,27
nite,27
min,27
minutes,27
goes,26
though,26
times,26
wanted,26
half,26
pain,26
came,26
means,26
abt,26
able,26
hav,26
reach,26
wake,26
guy,26
bring,26
since,25
juz,25
decimal,25
town,25
alright,24
weekend,24
missed,24
saw,24
hair,24
real,24
wen,24
havent,24
worry,24
speak,23
words,23
run,23
else,23
making,23
food,23
haf,23
oso,23
true,23
shopping,23
dude,23
online,23
makes,23
ard,22
test,22
must,22
coz,22
xxx,22
asked,22
hurt,22
friendship,22
fun,22
change,22
family,22
goin,22
yesterday,21
part,21
sms,21
show,21
play,21
account,21
full,21
years,21
tot,21
beautiful,21
together,21
away,21
sad,21
looking,20
smiling,20
driving,20
mean,20
leaving,20
story,20
sleeping,20
noe,20
happen,20
chikku,20
stay,20
feeling,20
lose,20
saying,20
wants,20
drive,20
dreams,20
set,19
aft,19
tomo,19
took,19
finished,19
movie,19
busy,19
believe,19
awesome,19
details,19
thinking,19
bored,19
mum,19
rite,19
brother,18
tho,18
second,18
started,18
cause,18
address,18
old,18
comes,18
easy,18
walk,18
angry,18
drink,18
head,18
simple,18
mine,18
neva,18
plus,18
live,17
lesson,17
com,17
taking,17
parents,17
carlos,17
smoke,17
sis,17
trip,17
lets,17
book,17
sister,17
whatever,17
email,17
knw,17
loving,17
treat,16
smth,16
mom,16
decided,16
forget,16
prob,16
gone,16
happened,16
type,16
open,16
whats,16
everyone,16
boytoy,16
touch,16
found,16
college,16
sounds,16
wid,16
ring,16
far,16
kind,16
pub,16
hours,16
sun,16
anyone,16
drop,16
available,15
wonderful,15
calls,15
search,15
friday,15
question,15
lots,15
hand,15
wit,15
needs,15
darlin,15
goodmorning,15
oredi,15
shop,15
company,15
light,15
calling,15
post,15
fucking,15
outside,15
pretty,15
holiday,15
sea,15
fast,15
eve,15
lovely,15
wrong,15
party,15
mobile,15
chennai,15
hows,15
sunday,14
seeing,14
telling,14
whole,14
frnds,14
used,14
close,14
answer,14
finally,14
course,14
mrng,14
chat,14
important,14
case,14
tel,14
meant,14
hold,14
read,14
jay,14
project,14
reason,14
frm,14
snow,14
mate,14
least,14
earlier,14
alone,14
point,13
per,13
almost,13
cut,13
hee,13
mah,13
felt,13
tired,13
hard,13
txt,13
break,13
march,13
side,13
dnt,13
